sku,descricao,categoria,marca,aplicacao,preco_tabela,custo_unitario,unidade,ativo,data_lancamento
SKU00070,Filtro de Óleo Fram Linha Peugeot CX 24,Filtro de Óleo,Fram,Linha Peugeot,150.51,75.69,CX 24,S,
SKU00071,Filtro de Óleo Magneti Marelli Linha Ford CX 6,Filtro de Óleo,Magneti Marelli,Linha Ford,188.09,96.48,CX 6,S,
SKU00072,Filtro de Óleo Magneti Marelli Linha Hyundai CX 6,Filtro de Óleo,Magneti Marelli,Linha Hyundai,64.89,31.20,CX 6,S,
SKU00073,Filtro de Óleo NGK Linha VW KIT 3,Filtro de Óleo,NGK,Linha VW,148.58,73.71,KIT 3,N,2025-05-01
SKU00074,Filtro de Óleo Magneti Marelli Linha Nissan KIT 3,Filtro de Óleo,Magneti Marelli,Linha Nissan,178.95,79.93,KIT 3,S,
SKU00075,Filtro de Óleo Tecfil Linha Renault KIT 5,Filtro de Óleo,Tecfil,Linha Renault,255.40,123.49,KIT 5,S,2026-05-12
SKU00076,Filtro de Óleo Fram Universal CX 12,Filtro de Óleo,Fram,Universal,96.79,48.81,CX 12,N,
SKU00077,Filtro de Óleo Tecfil Linha Citroën CX 6,Filtro de Óleo,Tecfil,Linha Citroën,191.79,92.51,CX 6,S,
SKU00078,Filtro de Óleo NGK Linha GM CX 24,Filtro de Óleo,NGK,Linha GM,65.72,32.60,CX 24,S,
SKU00079,Filtro de Óleo Fram Linha Honda CX 12,Filtro de Óleo,Fram,Linha Honda,50.29,24.62,CX 12,S,
SKU00080,Filtro de Óleo Fram Linha GM KIT 3,Filtro de Óleo,Fram,Linha GM,96.35,47.06,KIT 3,S,2025-06-02
SKU00081,Filtro de Óleo Tecfil Linha GM KIT 3,Filtro de Óleo,Tecfil,Linha GM,105.39,49.64,KIT 3,S,2025-11-10
SKU00082,Filtro de Óleo NGK Linha VW CX 24,Filtro de Óleo,NGK,Linha VW,259.13,119.65,CX 24,S,
SKU00083,Filtro de Óleo Nakata Linha Peugeot CX 6,Filtro de Óleo,Nakata,Linha Peugeot,46.16,22.74,CX 6,S,
SKU00084,Filtro de Óleo Fram Linha Fiat UN,Filtro de Óleo,Fram,Linha Fiat,203.29,100.51,UN,S,
SKU00085,Filtro de Óleo Magneti Marelli Linha VW CX 24,Filtro de Óleo,Magneti Marelli,Linha VW,134.49,59.41,CX 24,S,
SKU00086,Filtro de Óleo NGK Linha Nissan CX 6,Filtro de Óleo,NGK,Linha Nissan,240.74,118.59,CX 6,S,
SKU00087,Filtro de Óleo Fram Linha Honda UN,Filtro de Óleo,Fram,Linha Honda,52.88,24.34,UN,S,
SKU00088,Filtro de Óleo Tecfil Linha VW KIT 5,Filtro de Óleo,Tecfil,Linha VW,78.96,38.75,KIT 5,S,
SKU00089,Filtro de Óleo NGK Linha Toyota UN,Filtro de Óleo,NGK,Linha Toyota,69.33,33.34,UN,S,
SKU00090,Filtro de Óleo Fram Linha Nissan UN,Filtro de Óleo,Fram,Linha Nissan,59.54,27.45,UN,S,
SKU00091,Filtro de Óleo Magneti Marelli Universal KIT 3,Filtro de Óleo,Magneti Marelli,Universal,212.23,95.39,KIT 3,S,
SKU00092,Bateria Cofap Linha Honda CX 6,Bateria,Cofap,Linha Honda,37.32,18.97,CX 6,S,
SKU00093,Bateria Cofap Linha Citroën CX 24,Bateria,Cofap,Linha Citroën,119.54,57.72,CX 24,S,
SKU00094,Bateria Monroe Linha Peugeot CX 12,Bateria,Monroe,Linha Peugeot,130.15,67.18,CX 12,S,
SKU00095,Bateria Cofap Linha Ford CX 24,Bateria,Cofap,Linha Ford,149.22,72.72,CX 24,N,2025-06-30
SKU00096,Bateria NGK Linha Citroën KIT 5,Bateria,NGK,Linha Citroën,101.58,51.03,KIT 5,S,
SKU00097,Bateria Cofap Linha Peugeot CX 24,Bateria,Cofap,Linha Peugeot,97.03,49.48,CX 24,S,
SKU00098,Bateria Cofap Linha Renault CX 12,Bateria,Cofap,Linha Renault,153.25,79.76,CX 12,S,
SKU00099,Bateria Monroe Linha VW CX 12,Bateria,Monroe,Linha VW,130.14,63.94,CX 12,S,
SKU00100,Bateria NGK Linha Nissan CX 24,Bateria,NGK,Linha Nissan,128.21,70.86,CX 24,S,
SKU00101,Bateria Varga Linha Toyota CX 24,Bateria,Varga,Linha Toyota,61.69,31.68,CX 24,S,
SKU00102,Bateria Cofap Linha GM CX 12,Bateria,Cofap,Linha GM,134.54,69.99,CX 12,S,
SKU00103,Bateria Monroe Linha Toyota CX 24,Bateria,Monroe,Linha Toyota,50.21,25.80,CX 24,S,
SKU00104,Bateria Cofap Linha Ford UN,Bateria,Cofap,Linha Ford,52.69,28.70,UN,S,
SKU00105,Bateria NGK Linha Toyota KIT 3,Bateria,NGK,Linha Toyota,75.21,37.52,KIT 3,S,
SKU00106,Bateria Cofap Linha Peugeot UN,Bateria,Cofap,Linha Peugeot,33.63,16.25,UN,S,
SKU00107,Bateria Monroe Linha VW UN,Bateria,Monroe,Linha VW,93.70,46.76,UN,S,
SKU00108,Bateria Monroe Linha Hyundai CX 6,Bateria,Monroe,Linha Hyundai,139.69,76.41,CX 6,S,
SKU00109,Bateria Cofap Linha Fiat KIT 5,Bateria,Cofap,Linha Fiat,151.39,77.51,KIT 5,S,2025-09-21
SKU00110,Bateria Cofap Linha Toyota KIT 5,Bateria,Cofap,Linha Toyota,129.86,64.25,KIT 5,S,2025-01-08
SKU00111,Bateria NGK Linha VW CX 12,Bateria,NGK,Linha VW,126.58,70.57,CX 12,N,
SKU00112,Bateria NGK Linha Ford CX 12,Bateria,NGK,Linha Ford,44.37,22.01,CX 12,S,
SKU00113,Bateria Monroe Linha Citroën CX 24,Bateria,Monroe,Linha Citroën,66.16,33.54,CX 24,N,
SKU00114,Bateria Monroe Linha Hyundai CX 6,Bateria,Monroe,Linha Hyundai,163.87,80.46,CX 6,S,
SKU00115,Bateria Varga Linha Citroën CX 24,Bateria,Varga,Linha Citroën,57.67,29.95,CX 24,S,
SKU00116,Bateria NGK Linha GM CX 24,Bateria,NGK,Linha GM,155.68,77.45,CX 24,S,
SKU00117,Bateria NGK Linha Peugeot CX 12,Bateria,NGK,Linha Peugeot,73.02,40.65,CX 12,S,
SKU00118,Bateria Varga Universal KIT 3,Bateria,Varga,Universal,81.68,44.75,KIT 3,S,
SKU00119,Bateria NGK Linha VW CX 12,Bateria,NGK,Linha VW,95.56,50.84,CX 12,S,
SKU00120,Bateria Varga Linha Honda KIT 5,Bateria,Varga,Linha Honda,82.25,42.94,KIT 5,S,
SKU00121,Bateria Monroe Linha VW KIT 3,Bateria,Monroe,Linha VW,53.54,27.25,KIT 3,S,
SKU00122,Disco de Freio Bosch Linha Hyundai CX 24,Disco de Freio,Bosch,Linha Hyundai,92.35,54.90,CX 24,S,
SKU00123,Disco de Freio Cofap Linha Nissan KIT 3,Disco de Freio,Cofap,Linha Nissan,87.13,54.51,KIT 3,S,
SKU00124,Disco de Freio Cofap Linha Honda CX 24,Disco de Freio,Cofap,Linha Honda,183.76,106.78,CX 24,S,
SKU00125,Disco de Freio Nakata Linha Citroën UN,Disco de Freio,Nakata,Linha Citroën,83.58,51.10,UN,S,
SKU00126,Disco de Freio Cofap Linha Fiat KIT 5,Disco de Freio,Cofap,Linha Fiat,86.22,50.98,KIT 5,N,
SKU00127,Disco de Freio Nakata Linha Peugeot CX 12,Disco de Freio,Nakata,Linha Peugeot,81.26,46.67,CX 12,S,2025-03-25
SKU00128,Disco de Freio Bosch Linha Fiat CX 24,Disco de Freio,Bosch,Linha Fiat,208.72,127.20,CX 24,S,2026-01-23
SKU00129,Disco de Freio Bosch Linha Toyota CX 6,Disco de Freio,Bosch,Linha Toyota,87.80,54.30,CX 6,S,
SKU00130,Disco de Freio Bosch Linha Honda CX 6,Disco de Freio,Bosch,Linha Honda,161.02,89.41,CX 6,S,
SKU00131,Disco de Freio Bosch Linha GM CX 12,Disco de Freio,Bosch,Linha GM,104.15,61.06,CX 12,S,
SKU00132,Disco de Freio Cofap Linha GM CX 24,Disco de Freio,Cofap,Linha GM,77.03,44.45,CX 24,S,
SKU00133,Disco de Freio Cofap Linha Renault UN,Disco de Freio,Cofap,Linha Renault,70.27,42.37,UN,S,2026-02-22
SKU00134,Disco de Freio Nakata Linha Fiat CX 24,Disco de Freio,Nakata,Linha Fiat,88.61,53.49,CX 24,S,
SKU00135,Disco de Freio Cofap Linha Fiat KIT 5,Disco de Freio,Cofap,Linha Fiat,153.15,95.84,KIT 5,S,
SKU00136,Disco de Freio Bosch Linha Nissan CX 12,Disco de Freio,Bosch,Linha Nissan,91.14,50.33,CX 12,S,
SKU00137,Disco de Freio Nakata Linha Ford CX 6,Disco de Freio,Nakata,Linha Ford,86.79,48.63,CX 6,S,2024-12-19
SKU00138,Disco de Freio Bosch Linha Hyundai CX 6,Disco de Freio,Bosch,Linha Hyundai,136.79,78.38,CX 6,S,
SKU00139,Disco de Freio Cofap Linha Toyota KIT 3,Disco de Freio,Cofap,Linha Toyota,113.96,68.27,KIT 3,S,
SKU00140,Disco de Freio Bosch Linha Renault CX 12,Disco de Freio,Bosch,Linha Renault,158.38,87.78,CX 12,S,
SKU00141,Disco de Freio Bosch Linha Honda CX 12,Disco de Freio,Bosch,Linha Honda,107.45,66.13,CX 12,S,
SKU00142,Disco de Freio Bosch Linha VW CX 24,Disco de Freio,Bosch,Linha VW,63.36,35.61,CX 24,N,
SKU00143,Disco de Freio Nakata Linha VW CX 12,Disco de Freio,Nakata,Linha VW,86.24,48.41,CX 12,S,
SKU00144,Correia Dentada Bosch Linha VW KIT 3,Correia Dentada,Bosch,Linha VW,57.20,36.72,KIT 3,S,
SKU00145,Correia Dentada Bosch Linha VW KIT 5,Correia Dentada,Bosch,Linha VW,62.09,40.76,KIT 5,S,
SKU00146,Correia Dentada Fram Linha Ford CX 6,Correia Dentada,Fram,Linha Ford,40.48,23.57,CX 6,N,
SKU00147,Correia Dentada Fram Linha Fiat KIT 5,Correia Dentada,Fram,Linha Fiat,88.72,58.36,KIT 5,S,
SKU00148,Correia Dentada SKF Linha Peugeot CX 6,Correia Dentada,SKF,Linha Peugeot,83.73,52.33,CX 6,S,
SKU00149,Correia Dentada Fram Linha Toyota CX 12,Correia Dentada,Fram,Linha Toyota,82.70,54.28,CX 12,S,
SKU00150,Correia Dentada Bosch Linha Peugeot CX 6,Correia Dentada,Bosch,Linha Peugeot,89.25,55.80,CX 6,S,
SKU00151,Correia Dentada Fram Linha Nissan KIT 5,Correia Dentada,Fram,Linha Nissan,55.59,32.27,KIT 5,S,
SKU00152,Correia Dentada Fram Linha Ford CX 12,Correia Dentada,Fram,Linha Ford,52.62,33.59,CX 12,N,2025-02-19
SKU00153,Correia Dentada Bosch Linha Renault KIT 3,Correia Dentada,Bosch,Linha Renault,71.58,43.23,KIT 3,S,
SKU00154,Correia Dentada Fram Linha VW UN,Correia Dentada,Fram,Linha VW,43.94,26.02,UN,S,
SKU00155,Correia Dentada SKF Linha Renault KIT 3,Correia Dentada,SKF,Linha Renault,93.75,57.98,KIT 3,S,
SKU00156,Correia Dentada Fram Linha Toyota CX 24,Correia Dentada,Fram,Linha Toyota,62.67,40.99,CX 24,S,
SKU00157,Correia Dentada Bosch Linha Honda CX 24,Correia Dentada,Bosch,Linha Honda,75.09,45.02,CX 24,N,
SKU00158,Correia Dentada Bosch Linha Fiat CX 12,Correia Dentada,Bosch,Linha Fiat,56.04,34.83,CX 12,N,
SKU00159,Correia Dentada Bosch Linha Hyundai KIT 5,Correia Dentada,Bosch,Linha Hyundai,68.55,42.16,KIT 5,S,2026-05-10
SKU00160,Correia Dentada Bosch Linha Toyota CX 6,Correia Dentada,Bosch,Linha Toyota,84.08,51.32,CX 6,N,
SKU00161,Correia Dentada Fram Linha Toyota CX 24,Correia Dentada,Fram,Linha Toyota,60.51,36.09,CX 24,S,
SKU00162,Correia Dentada Fram Linha Honda CX 24,Correia Dentada,Fram,Linha Honda,47.16,29.28,CX 24,S,
SKU00163,Correia Dentada Bosch Linha Fiat CX 24,Correia Dentada,Bosch,Linha Fiat,36.65,23.17,CX 24,S,
SKU00164,Correia Dentada Magneti Marelli Linha Hyundai KIT 5,Correia Dentada,Magneti Marelli,Linha Hyundai,63.18,38.45,KIT 5,S,
SKU00165,Correia Dentada Fram Linha GM CX 12,Correia Dentada,Fram,Linha GM,78.22,47.53,CX 12,S,
SKU00166,Correia Dentada Fram Linha GM UN,Correia Dentada,Fram,Linha GM,78.04,50.54,UN,S,
SKU00167,Correia Dentada Bosch Universal UN,Correia Dentada,Bosch,Universal,71.17,41.39,UN,S,2026-01-05
SKU00168,Correia Dentada Fram Linha Ford KIT 3,Correia Dentada,Fram,Linha Ford,44.30,28.84,KIT 3,S,
SKU00169,Correia Dentada Fram Linha Toyota KIT 3,Correia Dentada,Fram,Linha Toyota,50.61,31.22,KIT 3,S,
SKU00170,Correia Dentada Fram Linha Renault UN,Correia Dentada,Fram,Linha Renault,75.54,48.65,UN,S,
SKU00171,Correia Dentada Fram Linha GM KIT 5,Correia Dentada,Fram,Linha GM,95.23,58.36,KIT 5,S,
SKU00172,Correia Dentada SKF Linha Ford KIT 5,Correia Dentada,SKF,Linha Ford,36.91,22.17,KIT 5,S,
SKU00173,Correia Dentada SKF Linha GM CX 24,Correia Dentada,SKF,Linha GM,43.85,25.58,CX 24,S,
SKU00174,Vela de Ignição Monroe Linha Honda CX 6,Vela de Ignição,Monroe,Linha Honda,546.65,368.48,CX 6,S,
SKU00175,Vela de Ignição Bosch Linha Honda CX 24,Vela de Ignição,Bosch,Linha Honda,454.25,290.61,CX 24,S,
SKU00176,Vela de Ignição NGK Linha Ford CX 6,Vela de Ignição,NGK,Linha Ford,249.61,160.12,CX 6,S,
SKU00177,Vela de Ignição Magneti Marelli Linha GM UN,Vela de Ignição,Magneti Marelli,Linha GM,353.83,223.09,UN,S,
SKU00178,Vela de Ignição Bosch Linha Citroën UN,Vela de Ignição,Bosch,Linha Citroën,172.12,113.46,UN,S,
SKU00179,Vela de Ignição Magneti Marelli Linha Peugeot CX 24,Vela de Ignição,Magneti Marelli,Linha Peugeot,252.97,162.35,CX 24,S,2025-01-07
SKU00180,Vela de Ignição NGK Linha GM CX 6,Vela de Ignição,NGK,Linha GM,614.08,414.47,CX 6,N,2025-10-08
SKU00181,Vela de Ignição Magneti Marelli Linha Ford CX 6,Vela de Ignição,Magneti Marelli,Linha Ford,435.40,274.42,CX 6,S,
SKU00182,Vela de Ignição Monroe Linha Renault CX 12,Vela de Ignição,Monroe,Linha Renault,313.38,198.43,CX 12,S,
SKU00183,Vela de Ignição Bosch Linha Citroën KIT 3,Vela de Ignição,Bosch,Linha Citroën,572.68,360.01,KIT 3,S,
SKU00184,Vela de Ignição Magneti Marelli Linha GM CX 12,Vela de Ignição,Magneti Marelli,Linha GM,242.02,163.22,CX 12,S,
SKU00185,Vela de Ignição Bosch Linha Honda CX 12,Vela de Ignição,Bosch,Linha Honda,392.47,263.09,CX 12,S,
SKU00186,Vela de Ignição NGK Linha Fiat KIT 5,Vela de Ignição,NGK,Linha Fiat,208.21,140.28,KIT 5,S,
SKU00187,Vela de Ignição Monroe Universal KIT 3,Vela de Ignição,Monroe,Universal,151.22,93.96,KIT 3,S,2025-01-31
SKU00188,Vela de Ignição NGK Linha GM CX 6,Vela de Ignição,NGK,Linha GM,188.57,118.31,CX 6,S,
SKU00189,Vela de Ignição Monroe Linha GM CX 6,Vela de Ignição,Monroe,Linha GM,554.76,381.64,CX 6,S,
SKU00190,Vela de Ignição Monroe Linha Honda CX 12,Vela de Ignição,Monroe,Linha Honda,653.76,437.99,CX 12,S,
SKU00191,Vela de Ignição Monroe Linha Nissan KIT 3,Vela de Ignição,Monroe,Linha Nissan,433.54,282.35,KIT 3,S,
SKU00192,Vela de Ignição Magneti Marelli Linha VW CX 24,Vela de Ignição,Magneti Marelli,Linha VW,494.39,329.77,CX 24,N,
SKU00193,Vela de Ignição Bosch Linha Nissan CX 24,Vela de Ignição,Bosch,Linha Nissan,687.06,419.53,CX 24,S,
SKU00194,Vela de Ignição Monroe Linha Peugeot CX 12,Vela de Ignição,Monroe,Linha Peugeot,399.75,244.53,CX 12,S,2026-05-26
SKU00195,Vela de Ignição Magneti Marelli Linha Renault KIT 3,Vela de Ignição,Magneti Marelli,Linha Renault,366.67,233.91,KIT 3,S,2025-12-08
SKU00196,Vela de Ignição Monroe Linha Citroën CX 6,Vela de Ignição,Monroe,Linha Citroën,268.13,174.46,CX 6,S,
SKU00197,Vela de Ignição Monroe Linha Honda UN,Vela de Ignição,Monroe,Linha Honda,204.16,125.59,UN,S,
SKU00198,Vela de Ignição Monroe Linha Citroën UN,Vela de Ignição,Monroe,Linha Citroën,608.47,389.86,UN,S,
SKU00199,Vela de Ignição Bosch Linha Fiat CX 6,Vela de Ignição,Bosch,Linha Fiat,154.00,96.51,CX 6,S,
SKU00200,Vela de Ignição NGK Linha Hyundai KIT 3,Vela de Ignição,NGK,Linha Hyundai,285.97,189.71,KIT 3,S,
SKU00201,Vela de Ignição Magneti Marelli Linha Nissan CX 24,Vela de Ignição,Magneti Marelli,Linha Nissan,212.78,130.80,CX 24,S,
SKU00202,Vela de Ignição Bosch Linha Nissan CX 24,Vela de Ignição,Bosch,Linha Nissan,300.65,198.52,CX 24,N,
SKU00203,Vela de Ignição Bosch Linha Fiat CX 24,Vela de Ignição,Bosch,Linha Fiat,301.32,193.88,CX 24,S,
SKU00204,Óleo Lubrificante SKF Linha Citroën CX 24,Óleo Lubrificante,SKF,Linha Citroën,34.32,22.38,CX 24,N,
SKU00205,Óleo Lubrificante Bosch Linha Hyundai KIT 3,Óleo Lubrificante,Bosch,Linha Hyundai,80.32,50.09,KIT 3,S,
SKU00206,Óleo Lubrificante SKF Linha GM CX 6,Óleo Lubrificante,SKF,Linha GM,57.88,37.87,CX 6,S,
SKU00207,Óleo Lubrificante Bosch Linha Honda KIT 5,Óleo Lubrificante,Bosch,Linha Honda,84.01,53.21,KIT 5,S,2026-05-24
