cliente_id,cnpj,razao_social,segmento,cidade,uf,bairro,data_cadastro,ativo
31,21465840449972,Comércio de Peças do Sul S/A,Oficina mecânica,Brasília,DF,Cambuí,2022-03-02,S
32,39636057662702,Comercial Veloz LTDA,Oficina mecânica,Manaus,AM,Aldeota,2021-11-08,N
33,62174596158657,Centro Automotivo Aurora ME,Funilaria e pintura,Belo Horizonte,MG,Vila Madalena,2024-11-10,S
34,17240050455623,Comércio de Peças Ipê LTDA,Concessionária,Campinas,SP,Pinheiros,2021-09-10,S
35,79.237.474/0748-21,Rede Prime EIRELI,E-commerce de peças,Curitiba,PR,Setor Bueno,2022-03-12,S
36,71.369.594/4064-09,Casa das Peças Cruzeiro S/A,Auto center,Recife,PE,Barra,2024-05-24,S
37,42104709521456,Peças e Serviços Líder EIRELI,Oficina mecânica,Goiânia,GO,Asa Sul,2026-03-07,S
38,45.171.236/8516-04,Mecânica Popular EIRELI,E-commerce de peças,Fortaleza,CE,Barra,2025-09-13,S
39,85931746120047,Importadora Diamante EIRELI,Concessionária,Goiânia,GO,Higienópolis,2026-03-05,S
40,26.179.640/5377-35,Peças e Serviços Bosch Car EIRELI,Oficina mecânica,Manaus,AM,Asa Sul,2024-02-11,S
41,71.390.053/2931-83,Rede Max LTDA,Oficina mecânica,Rio de Janeiro,RJ,Batel,2025-04-27,S
42,42102053950240,Casa das Peças Anhanguera LTDA ME,Retífica de motores,Brasília,DF,Ipanema,2023-12-17,S
43, 78390847007661 ,Mecânica União EIRELI,Auto center,Rio de Janeiro,RJ,Moema,2021-12-02,S
44,98.569.847/8961-18,Mecânica Turbo LTDA ME,Funilaria e pintura,Goiânia,GO,Savassi,2023-06-19,S
45,45271111615280,Auto Center Rodovia LTDA ME,Retífica de motores,Salvador,BA,Jardins,2021-07-09,S
46,45198327315851,Casa das Peças do Sul S/A,Rede de autopeças,Goiânia,GO,Higienópolis,2023-02-09,N
47,40.244.550/2296-12,Casa das Peças Ultra LTDA ME,Funilaria e pintura,Campinas,SP,Ipanema,2026-02-26,S
48,99.102.290/1476-79,Centro Automotivo Paulista EIRELI,Funilaria e pintura,Salvador,BA,Setor Bueno,2022-03-11,S
49,78.403.690/0343-24,Casa das Peças do Sul ME,Autopeças independente,Goiânia,GO,Higienópolis,2023-01-18,S
50, 85160607159696 ,Peças e Serviços Roda Livre ME,Rede de autopeças,Brasília,DF,Aldeota,2022-04-30,S
51,16.136.968/1645-35,Importadora Vitória ME,Retífica de motores,Salvador,BA,Ipanema,2026-06-11,S
52,23.124.329/2127-79,Auto Peças Paulista ME,Oficina mecânica,Campinas,SP,Pituba,2021-06-03,S
53,49.058.147/7005-41,Centro Automotivo Brasil S/A,Rede de autopeças,Porto Alegre,RS,Jardins,01/03/2024,S
54,35.978.207/1518-20,Retífica Ultra S/A,Auto center,Goiânia,GO,Ipanema,2023-04-13,S
55,65.905.151/8644-92,Mecânica Master LTDA ME,Oficina mecânica,Recife,PE,Moema,2025-01-23,S
56,52816850542357,Mecânica Estrada LTDA,Concessionária,Recife,PE,Higienópolis,2025-01-19,S
57,05929622292706,Importadora Ouro EIRELI,Funilaria e pintura,Brasília,DF,Aldeota,2022-08-17,S
58,47359774688623,Centro Automotivo Veloz EIRELI,Autopeças independente,Curitiba,PR,Savassi,2023-11-23,S
59,14124782613750,Centro Automotivo Estrada LTDA,Oficina mecânica,Brasília,DF,Centro,2026-01-28,S
60,52204727790104,Distribuidora Guará ME,Rede de autopeças,Rio de Janeiro,RJ,Jardins,18/06/2023,S
61,97117980893246,Distribuidora Guará ME,Funilaria e pintura,Campinas,SP,Moema,2024-08-29,S
62,18888806706540,Auto Parts Bandeirante LTDA,Oficina mecânica,Salvador,BA,Cambuí,2022-09-01,S
63,85.277.221/7043-03,Importadora Fortaleza S/A,E-commerce de peças,Salvador,BA,Jardins,2024-06-08,S
64,45054156676527,Mecânica Bandeirante LTDA,E-commerce de peças,Curitiba,PR,Boa Viagem,2021-11-18,S
65,11544796275705,Distribuidora Nova Era LTDA ME,Autopeças independente,Salvador,BA,Boa Viagem,2022-03-26,S
66,97021355690927,Comércio de Peças Pista S/A,Retífica de motores,Belo Horizonte,MG,Cambuí,2022-08-04,S
67,10.278.681/4473-94,Auto Elétrica Apex LTDA ME,Retífica de motores,Curitiba,PR,Cambuí,2025-01-17,S
68, 18844225831323 ,Auto Elétrica do Sul ME,Oficina mecânica,Manaus,AM,Moema,2026-03-22,N
69,78669125177852,Mecânica Rodovia S/A,Concessionária,Recife,PE,Jardins,2021-07-30,S
70,24225358414384,Loja Speed ME,Retífica de motores,Brasília,DF,Batel,2023-12-20,S
71,95900109439690,Comercial Nobre LTDA ME,E-commerce de peças,Goiânia,GO,Pinheiros,17/11/2021,S
72, 02767735925556 ,Mecânica Aurora LTDA ME,Retífica de motores,Rio de Janeiro,RJ,Aldeota,2023-12-09,S
73,04.696.325/9532-78,Importadora Master LTDA,E-commerce de peças,Rio de Janeiro,RJ,Bela Vista,2022-01-19,S
74,39500479748016,Comercial Titan LTDA,Oficina mecânica,Curitiba,PR,Higienópolis,2023-12-02,S
75,41.687.849/9121-65,Retífica Bosch Car S/A,Oficina mecânica,Brasília,DF,Bela Vista,2022-10-08,N
76,25787298259526,Auto Center Ipê EIRELI,Auto center,São Paulo,SP,Centro,29/12/2022,S
77,16.940.974/9930-97,Mecânica Turbo LTDA,Rede de autopeças,Campinas,SP,Savassi,18/09/2023,S
78,56.263.689/7028-38,Centro Automotivo Vitória EIRELI,Auto center,Fortaleza,CE,Aldeota,2022-11-06,S
79,85497334843443,Auto Parts Apex EIRELI,Oficina mecânica,Salvador,BA,Higienópolis,2021-12-05,S
80,52.404.157/4733-84,Comercial Onix S/A,Concessionária,Recife,PE,Jardins,2021-07-08,S
81,33016571208267,Peças e Serviços Líder LTDA,E-commerce de peças,Brasília,DF,Moema,2021-12-29,S
82,80262067240049,Retífica Apex S/A,Oficina mecânica,Curitiba,PR,Batel,2024-01-26,S
83,43152742054932,Centro Automotivo Turbo LTDA,Oficina mecânica,Fortaleza,CE,Batel,2022-05-25,S
84,04.637.454/9904-53,Comércio de Peças Bosch Car LTDA ME,Auto center,Curitiba,PR,Setor Bueno,2024-04-27,S
85,45.933.272/7956-87,Importadora Roda Livre LTDA,Funilaria e pintura,Campinas,SP,Bela Vista,2021-08-28,S
86,91088398225871,Auto Peças Onix LTDA ME,Auto center,Rio de Janeiro,RJ,Aldeota,2023-07-09,S
87,79087406403910,Retífica Ultra LTDA,Retífica de motores,Recife,PE,Pituba,2022-04-18,N
88, 22656766182512 ,Casa das Peças Brasil LTDA,Concessionária,Recife,PE,Setor Bueno,2021-08-28,S
89,86863375243106,Distribuidora Potência LTDA ME,Retífica de motores,Manaus,AM,Jardins,2024-11-08,S
90,67383028439599,Auto Parts Ouro EIRELI,Funilaria e pintura,São Paulo,SP,Boa Viagem,2025-01-25,S
91,87056856624628,Auto Center Anhanguera LTDA ME,E-commerce de peças,Recife,PE,Higienópolis,2025-04-19,S
92,88.263.435/1751-83,Loja Speed S/A,Autopeças independente,Recife,PE,Higienópolis,2024-05-19,S
93,54.033.173/9363-85,Casa das Peças Ultra EIRELI,Oficina mecânica,Curitiba,PR,Pituba,31/01/2023,S
94,75355609320489,Comércio de Peças Master EIRELI,E-commerce de peças,Manaus,AM,Barra,2021-06-03,S
95,54.777.252/2872-80,Auto Center Paulista ME,Autopeças independente,Campinas,SP,Barra,2024-11-16,N
96, 03875099770088 ,Comercial Garra LTDA,E-commerce de peças,Belo Horizonte,MG,Vila Madalena,25/02/2026,S
97,11823398454615,Auto Peças Potência EIRELI,Funilaria e pintura,Belo Horizonte,MG,Moema,2022-05-24,S
98,01666870021765,Comércio de Peças Brasil ME,Retífica de motores,Campinas,SP,Pituba,2021-07-01,S
99,48.902.503/9261-42,Distribuidora Bosch Car LTDA,Oficina mecânica,Rio de Janeiro,RJ,Ipanema,2025-10-04,N
100,31599965047735,Loja Nobre LTDA ME,Rede de autopeças,Recife,PE,Setor Bueno,2021-07-27,S
101,11.426.265/5110-47,Rede Guará ME,Retífica de motores,Manaus,AM,Higienópolis,2022-08-26,S
102,10.158.199/5604-66,Comércio de Peças Ultra ME,Funilaria e pintura,Recife,PE,Boa Viagem,2024-03-12,S
103,47.212.646/4715-43,Comércio de Peças Econômica ME,Funilaria e pintura,Porto Alegre,RS,Pinheiros,2021-11-21,S
104,65.756.924/5937-52,Auto Peças Master LTDA ME,E-commerce de peças,Goiânia,GO,Barra,2022-06-09,S
105,65.193.982/8073-74,Centro Automotivo União ME,Rede de autopeças,Porto Alegre,RS,Barra,2024-04-13,S
106,66179796886805,Rede Líder EIRELI,Retífica de motores,Belo Horizonte,MG,Jardins,29/08/2021,S
107,65610143888993,Loja Guará S/A,Auto center,Campinas,SP,Centro,2022-03-04,S
108,61.125.457/3875-71,Peças e Serviços Rota EIRELI,Auto center,Porto Alegre,RS,Savassi,2022-03-19,N
109,12382825867362,Auto Center Speed S/A,Rede de autopeças,Salvador,BA,Aldeota,2023-08-17,S
110,03.341.918/2553-71,CENTRO AUTOMOTIVO FÊNIX EIRELI,Auto center,Recife,PE,Pinheiros,2023-03-14,S
111,57.924.991/2513-41,Mecânica Líder LTDA ME,Concessionária,Salvador,BA,Pinheiros,2023-08-24,S
112,82827422579050,Casa das Peças Econômica LTDA ME,Auto center,Fortaleza,CE,Aldeota,29/09/2025,S
113,90.340.438/4279-78,Auto Peças Nacional S/A,E-commerce de peças,Rio de Janeiro,RJ,Jardins,2024-12-26,S
114,83.613.407/4517-13,Peças e Serviços Diamante LTDA ME,Oficina mecânica,Fortaleza,CE,Batel,2023-06-30,S
115,09584982544948,Auto Elétrica Aurora ME,Autopeças independente,Curitiba,PR,Batel,2025-10-27,S
116,53672946671168,Auto Elétrica Bosch Car EIRELI,Oficina mecânica,Manaus,AM,Moema,2023-02-10,S
117,51863637454589,Rede Real LTDA,Auto center,Fortaleza,CE,Aldeota,2023-12-09,N
118,77.063.242/4154-15,Auto Parts Onix LTDA ME,E-commerce de peças,Belo Horizonte,MG,Savassi,2026-06-03,N
119,12.938.700/5162-71,Auto Parts Popular EIRELI,Retífica de motores,Fortaleza,CE,Batel,2023-05-22,S
120, 21890927532697 ,Auto Center Pista LTDA ME,Concessionária,Belo Horizonte,MG,Vila Madalena,2024-12-12,S
121,34138999404389,Casa das Peças Ultra ME,E-commerce de peças,Belo Horizonte,MG,Savassi,2025-10-07,S
122,91805526965827,Auto Elétrica Real LTDA,Autopeças independente,Campinas,SP,Pinheiros,09/11/2024,S
123,86661889241418,Comercial Speed LTDA ME,Concessionária,Campinas,SP,Moema,2023-07-13,S
124,30.316.179/9042-10,Auto Peças Prime S/A,Concessionária,Recife,PE,Asa Sul,2023-11-25,S
125,41056481491778,Auto Parts União EIRELI,Concessionária,Belo Horizonte,MG,Savassi,2026-04-04,S
126,00030756220863,Auto Peças Econômica EIRELI,E-commerce de peças,Brasília,DF,Jardins,2025-07-25,S
127,06.174.451/8705-34,Casa das Peças Max S/A,Funilaria e pintura,Brasília,DF,Meireles,2021-07-05,S
128, 32060385050641 ,Mecânica Roda Livre LTDA,Funilaria e pintura,Brasília,DF,Batel,2023-07-09,S
129,03865719182619,Loja Brasil EIRELI,Funilaria e pintura,Rio de Janeiro,RJ,Pinheiros,2025-01-12,S
130,55.743.132/9121-27,Auto Center Veloz ME,Retífica de motores,Manaus,AM,Aldeota,2022-01-21,S
131,12.490.352/1356-80,AUTO CENTER MASTER LTDA ME,Concessionária,Rio de Janeiro,RJ,Higienópolis,2022-12-29,S
132,12100323651994,Loja Titan ME,Funilaria e pintura,Fortaleza,CE,Cambuí,2024-11-06,S
133,02966706625324,Retífica Brasil S/A,Concessionária,Fortaleza,CE,Setor Bueno,2023-02-06,S
134, 70146263838065 ,Distribuidora Diamante S/A,Auto center,Brasília,DF,Asa Sul,2021-12-24,S
135,93040785932133,Loja Ipê LTDA ME,Autopeças independente,Salvador,BA,Boa Viagem,2023-03-06,S
136,55.905.992/9378-42,Distribuidora Veloz LTDA,Funilaria e pintura,Goiânia,GO,Centro,2024-10-28,S
137,32525002921851,Retífica Diamante EIRELI,Rede de autopeças,Goiânia,GO,Batel,2022-07-29,S
138,67.528.953/9264-42,Auto Peças Paulista ME,Rede de autopeças,Manaus,AM,Barra,2023-09-04,S
139,72.513.552/1570-43,Importadora Rodovia LTDA,Oficina mecânica,Rio de Janeiro,RJ,Aldeota,2023-04-09,S
140,67.658.617/9327-10,Distribuidora União ME,Retífica de motores,Belo Horizonte,MG,Boa Viagem,2025-05-26,S
141,15.997.062/9620-15,Importadora Apex S/A,Rede de autopeças,Brasília,DF,Setor Bueno,2023-07-09,S
142,06987205061497,Casa das Peças Brasil LTDA,Concessionária,Rio de Janeiro,RJ,Savassi,2025-03-31,S
143,77418625652704,PEÇAS E SERVIÇOS MASTER LTDA,Funilaria e pintura,Recife,PE,Savassi,2022-03-16,S
144,86.938.068/6879-37,Comercial Econômica ME,Concessionária,Salvador,BA,Boa Viagem,2024-10-06,S
145,20616329451168,Comércio de Peças Bosch Car LTDA,E-commerce de peças,Curitiba,PR,Bela Vista,2022-06-11,S
146,62.299.911/9148-56,Centro Automotivo Cruzeiro LTDA ME,Auto center,Rio de Janeiro,RJ,Asa Sul,2023-03-11,S
147,96.065.307/4505-44,Comércio de Peças Onix EIRELI,Retífica de motores,Goiânia,GO,Aldeota,2023-02-05,S
148,46913736785082,Casa das Peças Nobre S/A,Rede de autopeças,Salvador,BA,Meireles,2024-04-20,S
149,03.070.534/5786-10,Auto Elétrica Bandeirante S/A,Auto center,Curitiba,PR,Ipanema,2023-04-25,S
150,14060293333468,Auto Elétrica Speed ME,Autopeças independente,Porto Alegre,RS,Centro,2024-07-22,S
151,44.665.743/7489-69,Retífica Turbo LTDA ME,E-commerce de peças,Goiânia,GO,Asa Sul,2025-09-19,S
152, 44328309652074 ,Casa das Peças do Sul S/A,Rede de autopeças,Porto Alegre,RS,Meireles,2023-03-20,S
153,38.758.428/2417-24,Importadora Rota LTDA,Concessionária,Manaus,AM,Barra,2021-07-15,S
154,65.549.471/7099-91,Importadora Bandeirante S/A,Retífica de motores,Porto Alegre,RS,Jardins,2022-01-08,S
155,23.569.725/2175-25,Centro Automotivo Marajó ME,Funilaria e pintura,Belo Horizonte,MG,Moema,2025-06-08,S
156,66676008350583,Peças e Serviços Veloz EIRELI,Funilaria e pintura,Recife,PE,Pinheiros,2024-07-27,S
157,21044789856257,Centro Automotivo Bosch Car ME,Concessionária,Porto Alegre,RS,Batel,2022-08-28,S
158,98.215.064/8909-01,Casa das Peças Marajó LTDA,Rede de autopeças,São Paulo,SP,Pituba,2024-12-28,S
159,04618499261891,Rede Rota ME,Auto center,Curitiba,PR,Bela Vista,2024-12-18,S
160,64208737530011,Loja Nobre LTDA,Concessionária,Salvador,BA,Savassi,2021-06-14,S
161,37.447.012/0455-61,Mecânica Turbo ME,Autopeças independente,Campinas,SP,Aldeota,20/02/2024,S
162, 15521667467621 ,Auto Parts Fênix LTDA ME,Autopeças independente,Porto Alegre,RS,Pituba,2023-12-05,S
163,72965902771670,Comércio de Peças Ultra S/A,Oficina mecânica,Campinas,SP,Barra,2024-04-25,S
164,58.891.637/5628-90,AUTO PEÇAS APEX LTDA ME,Concessionária,Campinas,SP,Moema,2024-08-09,S
165,35.408.386/6317-79,Loja Marajó LTDA ME,Auto center,Salvador,BA,Centro,2026-01-24,S
166,08801994883755,REDE GUARÁ S/A,Auto center,Recife,PE,Ipanema,2024-05-13,S
167,13.055.488/5102-72,Comercial Cruzeiro LTDA ME,Funilaria e pintura,Rio de Janeiro,RJ,Meireles,2026-05-19,S
168, 60917798270808 ,Importadora Popular S/A,Auto center,Rio de Janeiro,RJ,Batel,2022-03-30,S
169,99586693465472,Retífica Marajó EIRELI,E-commerce de peças,Campinas,SP,Higienópolis,2023-11-24,S
170,39452288515879,Auto Center Paulista EIRELI,Rede de autopeças,Curitiba,PR,Vila Madalena,2021-06-21,S
171,10620034244204,Casa das Peças Fortaleza LTDA,Autopeças independente,Brasília,DF,Higienópolis,2023-07-12,S
172,86384066658004,Comercial Fênix EIRELI,Auto center,Manaus,AM,Higienópolis,2023-07-14,S
173,34721228160648,Mecânica Diamante LTDA ME,E-commerce de peças,Curitiba,PR,Batel,2026-04-22,N
174,90.947.985/1583-28,Centro Automotivo Nova Era S/A,Concessionária,Salvador,BA,Ipanema,2024-04-15,S
175, 55543987801573 ,Distribuidora Speed LTDA ME,Oficina mecânica,Curitiba,PR,Setor Bueno,21/04/2023,N
176,58877043581128,Auto Parts Cruzeiro ME,Funilaria e pintura,Brasília,DF,Vila Madalena,2024-11-07,S
177,86.120.750/1102-48,Rede Líder LTDA ME,Funilaria e pintura,Curitiba,PR,Pinheiros,2024-04-10,S
178,61809190158144,Mecânica Econômica LTDA,Auto center,São Paulo,SP,Higienópolis,2024-03-08,S
179,68424508821009,RETÍFICA FÊNIX EIRELI,Retífica de motores,Manaus,AM,Bela Vista,17/06/2022,S
180, 39431290878141 ,Peças e Serviços Anhanguera ME,Auto center,Belo Horizonte,MG,Barra,2026-04-18,S
181,13577594929955,Comercial Real LTDA ME,Funilaria e pintura,Goiânia,GO,Ipanema,2025-07-18,S
182,57775478129142,Importadora do Sul LTDA,Retífica de motores,Manaus,AM,Centro,2026-06-04,S
183,69308488725639,Retífica Motor S/A,Retífica de motores,Goiânia,GO,Barra,2026-01-27,S
184,28272299275037,COMERCIAL PRIME S/A,Funilaria e pintura,Goiânia,GO,Ipanema,14/09/2025,S
185,00518449892665,Peças e Serviços Ouro LTDA ME,Rede de autopeças,Fortaleza,CE,Ipanema,2024-03-26,S
186,90827231843222,RETÍFICA ROTA LTDA ME,Retífica de motores,Fortaleza,CE,Savassi,2022-08-22,S
187,73.926.030/2992-28,Auto Peças Ouro EIRELI,Concessionária,Fortaleza,CE,Bela Vista,2024-06-13,S
188,90413797723692,Comercial Vitória EIRELI,Concessionária,Goiânia,GO,Cambuí,2021-05-27,S
189,91366210388629,Loja Diamante LTDA,Autopeças independente,Goiânia,GO,Batel,2026-05-23,S
190,06.865.086/3765-99,Loja Potência LTDA,E-commerce de peças,Brasília,DF,Higienópolis,2024-02-14,S
191,00.981.806/3565-12,Distribuidora Aurora LTDA ME,E-commerce de peças,Curitiba,PR,Asa Sul,2022-04-13,S
192,36887258874495,Rede Roda Livre LTDA ME,Retífica de motores,Recife,PE,Boa Viagem,2022-06-09,S
193,65.890.260/1279-61,Retífica Estrada LTDA,Oficina mecânica,Brasília,DF,Pinheiros,2024-04-23,S
194,49.027.703/8430-98,Auto Parts do Sul EIRELI,Concessionária,Brasília,DF,Centro,2021-10-11,S
195,46.566.938/0118-48,Auto Elétrica Titan ME,E-commerce de peças,Rio de Janeiro,RJ,Pinheiros,2021-05-27,S
196,26818184518489,Auto Center Anhanguera ME,Rede de autopeças,Porto Alegre,RS,Aldeota,2023-04-08,S
197,07141633565880,COMERCIAL VITÓRIA LTDA,Rede de autopeças,Goiânia,GO,Boa Viagem,2024-12-05,S
198,39423733343333,Distribuidora Econômica S/A,Retífica de motores,Salvador,BA,Higienópolis,2024-12-19,S
199,59579472846392,Centro Automotivo Turbo LTDA,Rede de autopeças,Fortaleza,CE,Pinheiros,2024-05-14,S
200,71875003691559,Rede Ouro S/A,Funilaria e pintura,Belo Horizonte,MG,Boa Viagem,28/05/2025,S
201,65564729293143,Comércio de Peças Guará ME,Rede de autopeças,Curitiba,PR,Centro,2021-07-22,S
202,28.857.448/9061-20,CASA DAS PEÇAS FORTALEZA LTDA ME,Auto center,Fortaleza,CE,Asa Sul,2023-06-18,S
203,84.506.159/3998-24,Retífica Nacional LTDA,Auto center,Brasília,DF,Setor Bueno,2022-09-05,S
204,25699611253554,Mecânica Líder EIRELI,Rede de autopeças,Belo Horizonte,MG,Bela Vista,04/03/2023,S
205,22023413261117,Casa das Peças do Sul S/A,Retífica de motores,Recife,PE,Pinheiros,2025-10-12,S
206,47228200557784,Auto Peças Estrada LTDA ME,Concessionária,Curitiba,PR,Vila Madalena,2021-08-05,S
207,84578317456424,Distribuidora Líder S/A,Oficina mecânica,Campinas,SP,Pituba,2025-01-18,S
208,40649308536866,Comercial Garra EIRELI,Rede de autopeças,Fortaleza,CE,Barra,2026-06-24,S
209,44846312241797,Peças e Serviços Onix LTDA,Auto center,Goiânia,GO,Higienópolis,2023-02-22,N
210,44.270.312/0735-64,Rede Paulista EIRELI,Auto center,Rio de Janeiro,RJ,Batel,2021-11-16,N
211,18723460136730,Auto Parts Motor LTDA ME,Retífica de motores,Recife,PE,Setor Bueno,2023-07-22,S
212,08.814.743/5031-36,Casa das Peças Prime LTDA,Retífica de motores,Belo Horizonte,MG,Pituba,2025-06-10,S
213,51.327.195/0052-81,Auto Center Anhanguera EIRELI,Oficina mecânica,Belo Horizonte,MG,Aldeota,2023-12-19,S
214,65240778487392,Importadora Paulista S/A,Auto center,São Paulo,SP,Bela Vista,2021-08-15,S
215, 48570862095935 ,Retífica Titan LTDA ME,Rede de autopeças,Porto Alegre,RS,Batel,2024-04-25,S
216,65.118.102/2031-73,Comércio de Peças Nova Era S/A,Rede de autopeças,Salvador,BA,Asa Sul,20/06/2026,N
217,91.037.170/5865-09,Importadora Líder ME,Retífica de motores,Curitiba,PR,Savassi,2023-03-07,S
218,86.338.392/8861-95,Auto Parts Prime ME,Rede de autopeças,Curitiba,PR,Bela Vista,05/02/2022,S
219,89.755.855/6659-39,Loja Diamante LTDA ME,E-commerce de peças,Belo Horizonte,MG,Centro,2026-03-18,S
220,90.824.043/3504-88,Rede Vitória LTDA ME,Concessionária,Porto Alegre,RS,Batel,2021-07-20,S
221,33441969315727,Auto Parts Brasil EIRELI,Retífica de motores,Goiânia,GO,Pinheiros,2021-06-09,N
222,55661390604805,RETÍFICA FORTALEZA ME,Oficina mecânica,São Paulo,SP,Pinheiros,2021-08-23,S
223,98136462251790,Peças e Serviços Popular LTDA ME,Retífica de motores,Goiânia,GO,Batel,2021-08-06,S
224,83.769.389/8331-46,CASA DAS PEÇAS LÍDER LTDA ME,Retífica de motores,Fortaleza,CE,Meireles,2022-11-09,S
225,04259792703352,COMÉRCIO DE PEÇAS VELOZ EIRELI,Funilaria e pintura,Goiânia,GO,Savassi,2024-10-26,S
226,05383388487920,Loja Master LTDA,Autopeças independente,Fortaleza,CE,Asa Sul,2022-07-23,N
227,01645104636815,Retífica Paulista S/A,Retífica de motores,Campinas,SP,Higienópolis,2021-12-14,S
228,03845762055543,Comercial Paulista LTDA ME,Autopeças independente,São Paulo,SP,Centro,2021-11-10,S
229,32562168936392,REDE MARAJÓ ME,Oficina mecânica,Porto Alegre,RS,Batel,2022-04-12,S
230,32.482.629/2518-81,Auto Parts Nacional EIRELI,Concessionária,Campinas,SP,Vila Madalena,2023-08-21,S
231,74231220994999,Comércio de Peças Ipê EIRELI,Funilaria e pintura,Porto Alegre,RS,Pituba,2023-05-18,S
232,75267722330604,Retífica Econômica LTDA ME,Funilaria e pintura,Goiânia,GO,Pituba,2025-03-27,S
233,36609656999880,AUTO PARTS RODOVIA S/A,Autopeças independente,Fortaleza,CE,Jardins,2025-12-12,S
234,03.476.447/2649-08,Distribuidora Estrada LTDA,Auto center,Brasília,DF,Higienópolis,2023-11-15,S
235,57027937145211,LOJA NACIONAL LTDA ME,Oficina mecânica,Recife,PE,Bela Vista,2024-01-12,S
236,68602592222064,Comércio de Peças Guará ME,Auto center,Belo Horizonte,MG,Batel,2022-12-08,S
237, 94077780973397 ,Auto Peças Paulista LTDA,Retífica de motores,São Paulo,SP,Higienópolis,15/02/2022,S
238,83022050209945,LOJA LÍDER S/A,Concessionária,Campinas,SP,Higienópolis,2025-11-01,S
239,95014556168147,Retífica Speed S/A,Oficina mecânica,Fortaleza,CE,Meireles,09/06/2025,S
240,98.179.469/5489-95,Auto Peças Max LTDA ME,Auto center,Rio de Janeiro,RJ,Boa Viagem,2023-12-11,S
241,43010713966055,Peças e Serviços Garra ME,Funilaria e pintura,Curitiba,PR,Asa Sul,2021-07-12,S
242,48850155699023,Rede Bosch Car ME,Auto center,Porto Alegre,RS,Aldeota,2022-10-26,S
